OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,Shape_Length,Perm_ID,OID_,ComID,TotDASqKM,DivDASqKM
4612,2708621,3/17/2008 0:00,3,251974,Eel River,1.412,1.80E+13,1,8319731,558,55800,0.012937834,2708621,18489,2708621,7908.3225,7908.3225
4614,2708869,3/17/2008 0:00,3,251974,Eel River,0.157,1.80E+13,1,8319727,558,55800,0.001651218,2708869,18491,2708869,7908.6105,7908.6105
4616,2708623,3/17/2008 0:00,3,251974,Eel River,0.889,1.80E+13,1,8319731,558,55800,0.008022612,2708623,18493,2708623,7678.197,7678.197
4617,2708825,3/17/2008 0:00,3,251974,Eel River,0.833,1.80E+13,1,8319733,558,55800,0.008075224,2708825,18494,2708825,7668.4662,7668.4662
4618,2708823,3/17/2008 0:00,3,251974,Eel River,1.9,1.80E+13,1,8319733,558,55800,0.018262271,2708823,18495,2708823,7676.0469,7676.0469
4620,2708631,3/17/2008 0:00,3,251974,Eel River,0.975,1.80E+13,1,8319735,558,55800,0.009625781,2708631,18497,2708631,7660.3509,7660.3509
4621,2708627,3/17/2008 0:00,3,251974,Eel River,0.503,1.80E+13,1,8319735,558,55800,0.005038133,2708627,18498,2708627,7662.2202,7662.2202
4622,2708833,3/17/2008 0:00,3,251974,Eel River,0.931,1.80E+13,1,8319739,558,55800,0.008840005,2708833,18499,2708833,7658.5752,7658.5752
4625,2708853,3/17/2008 0:00,3,251974,Eel River,0.794,1.80E+13,1,8319759,558,55800,0.007598237,2708853,18502,2708853,5825.9232,5825.9232
4627,2708655,3/17/2008 0:00,3,251974,Eel River,0.535,1.80E+13,1,8319753,558,55800,0.005072867,2708655,18504,2708655,5828.3955,5828.3955
4630,2708657,3/17/2008 0:00,3,251974,Eel River,0.243,1.80E+13,1,8319765,558,55800,0.002603497,2708657,18507,2708657,5821.9263,5821.9263
4631,2708673,3/17/2008 0:00,3,251974,Eel River,0.215,1.80E+13,1,8319779,558,55800,0.002458307,2708673,18508,2708673,5793.327,5793.327
4632,2708681,3/17/2008 0:00,3,251974,Eel River,0.032,1.80E+13,1,8319771,558,55800,0.000375576,2708681,18509,2708681,5793.4242,5793.4242
4635,2708687,3/17/2008 0:00,3,251974,Eel River,0.182,1.80E+13,1,8319777,558,55800,0.002095798,2708687,18512,2708687,5789.0484,5789.0484
4637,2708675,3/17/2008 0:00,3,251974,Eel River,0.425,1.80E+13,1,8319779,558,55800,0.004982497,2708675,18514,2708675,5792.4657,5792.4657
4638,2708677,3/17/2008 0:00,3,251974,Eel River,0.33,1.80E+13,1,8319775,558,55800,0.003894289,2708677,18515,2708677,5789.6622,5789.6622
4639,2708689,3/17/2008 0:00,3,251974,Eel River,0.055,1.80E+13,1,8319777,558,55800,0.000652339,2708689,18516,2708689,5787.54,5787.54
4641,2708849,3/17/2008 0:00,3,251974,Eel River,0.128,1.80E+13,1,8319781,558,55800,0.001260094,2708849,18518,2708849,5771.9286,5771.9286
4643,2708851,3/17/2008 0:00,3,251974,Eel River,0.07,1.80E+13,1,8319781,558,55800,0.000628513,2708851,18520,2708851,5762.4057,5762.4057
4645,2708693,3/17/2008 0:00,3,251974,Eel River,0.291,1.80E+13,1,8319783,558,55800,0.002608055,2708693,18522,2708693,5762.3715,5762.3715
4646,2708695,3/17/2008 0:00,3,251974,Eel River,0.258,1.80E+13,1,8319785,558,55800,0.002475241,2708695,18523,2708695,5762.2473,5762.2473
4648,2708699,3/17/2008 0:00,3,251974,Eel River,0.068,1.80E+13,1,8319787,558,55800,0.000776238,2708699,18525,2708699,5758.7652,5758.7652
4649,2708705,3/17/2008 0:00,3,251974,Eel River,0.378,1.80E+13,1,8319795,558,55800,0.004378768,2708705,18526,2708705,5752.503,5752.503
4651,2708707,3/17/2008 0:00,3,251974,Eel River,0.508,1.80E+13,1,8319795,558,55800,0.005941063,2708707,18528,2708707,5750.9226,5750.9226
4653,2708701,3/17/2008 0:00,3,251974,Eel River,0.362,1.80E+13,1,8319787,558,55800,0.004166101,2708701,18530,2708701,5758.7427,5758.7427
4654,2708711,3/17/2008 0:00,3,251974,Eel River,0.261,1.80E+13,1,8319801,558,55800,0.002421463,2708711,18531,2708711,5730.7212,5730.7212
4657,2708709,3/17/2008 0:00,3,251974,Eel River,0.52,1.80E+13,1,8319799,558,55800,0.004811516,2708709,18534,2708709,5733.2448,5733.2448
4659,2708713,3/17/2008 0:00,3,251974,Eel River,0.394,1.80E+13,1,8319803,558,55800,0.003610707,2708713,18536,2708713,5728.9698,5728.9698
4662,2708725,3/17/2008 0:00,3,251974,Eel River,0.225,1.80E+13,1,8319823,558,55800,0.002488946,2708725,18539,2708725,5714.1981,5714.1981
4665,2708873,3/17/2008 0:00,3,251974,Eel River,0.124,1.80E+13,1,8319819,558,55800,0.001462658,2708873,18542,2708873,5693.2245,5693.2245
4666,2708875,3/17/2008 0:00,3,251974,Eel River,0.067,1.80E+13,1,8319819,558,55800,0.000774276,2708875,18543,2708875,5692.1337,5692.1337
4669,2708727,3/17/2008 0:00,3,251974,Eel River,0.234,1.80E+13,1,8319817,558,55800,0.002713532,2708727,18546,2708727,5694.012,5694.012
4671,2708729,3/17/2008 0:00,3,251974,Eel River,0.293,1.80E+13,1,8319827,558,55800,0.0028235,2708729,18548,2708729,5674.761,5674.761
4678,2708855,3/17/2008 0:00,3,251974,Eel River,0.027,1.80E+13,1,8319849,558,55800,0.000293403,2708855,18555,2708855,5441.9364,5441.9364
4680,2708743,3/17/2008 0:00,3,251974,Eel River,0.763,1.80E+13,1,8319833,558,55800,0.008222481,2708743,18557,2708743,5461.7292,5461.7292
4681,2708745,3/17/2008 0:00,3,251974,Eel River,0.487,1.80E+13,1,8319843,558,55800,0.004446963,2708745,18558,2708745,5456.1042,5456.1042
4682,2708751,3/17/2008 0:00,3,251974,Eel River,0.386,1.80E+13,1,8319845,558,55800,0.003868375,2708751,18559,2708751,5442.3882,5442.3882
4683,2714311,3/17/2008 0:00,3,251974,Eel River,0.935,1.80E+13,1,8319845,558,55800,0.010364439,2714311,18560,2714311,5448.0708,5448.0708
4685,2708747,3/17/2008 0:00,3,251974,Eel River,0.368,1.80E+13,1,8319845,558,55800,0.003999701,2708747,18562,2708747,5448.8808,5448.8808
4686,2708773,3/17/2008 0:00,3,251974,Eel River,0.243,1.80E+13,1,8319867,558,55800,0.002192352,2708773,18563,2708773,5428.5993,5428.5993
4688,2708753,3/17/2008 0:00,3,251974,Eel River,0.148,1.80E+13,1,8319849,558,55800,0.001400477,2708753,18565,2708753,5435.0712,5435.0712
4690,2708761,3/17/2008 0:00,3,251974,Eel River,0.741,1.80E+13,1,8319853,558,55800,0.007995386,2708761,18567,2708761,5432.9094,5432.9094
4691,2708767,3/17/2008 0:00,3,251974,Eel River,0.163,1.80E+13,1,8319861,558,55800,0.00177178,2708767,18568,2708767,5429.4183,5429.4183
4692,2708771,3/17/2008 0:00,3,251974,Eel River,0.16,1.80E+13,1,8319865,558,55800,0.00182936,2708771,18569,2708771,5429.1375,5429.1375
4694,2708757,3/17/2008 0:00,3,251974,Eel River,0.176,1.80E+13,1,8319853,558,55800,0.001608272,2708757,18571,2708757,5433.3009,5433.3009
4695,2708763,3/17/2008 0:00,3,251974,Eel River,0.403,1.80E+13,1,8319857,558,55800,0.003612208,2708763,18572,2708763,5431.1427,5431.1427
4696,2708769,3/17/2008 0:00,3,251974,Eel River,0.184,1.80E+13,1,8319863,558,55800,0.002156617,2708769,18573,2708769,5429.0178,5429.0178
4698,2708765,3/17/2008 0:00,3,251974,Eel River,0.199,1.80E+13,1,8319859,558,55800,0.001837308,2708765,18575,2708765,5429.7135,5429.7135
4699,2708755,3/17/2008 0:00,3,251974,Eel River,0.517,1.80E+13,1,8319851,558,55800,0.004659669,2708755,18576,2708755,5434.9614,5434.9614
4703,2708775,3/17/2008 0:00,3,251974,Eel River,0.178,1.80E+13,1,8319869,558,55800,0.001716609,2708775,18580,2708775,5390.1423,5390.1423
4706,2708787,3/17/2008 0:00,3,251974,Eel River,0.159,1.80E+13,1,8319873,558,55800,0.001566166,2708787,18583,2708787,5361.0696,5361.0696
4707,2708847,3/17/2008 0:00,3,251974,Eel River,0.451,1.80E+13,1,8319871,558,55800,0.004158989,2708847,18584,2708847,5371.3143,5371.3143
4709,2708783,3/17/2008 0:00,3,251974,Eel River,0.15,1.80E+13,1,8319873,558,55800,0.001413057,2708783,18586,2708783,5362.2558,5362.2558
4710,2708781,3/17/2008 0:00,3,251974,Eel River,0.386,1.80E+13,1,8319871,558,55800,0.003482624,2708781,18587,2708781,5365.5732,5365.5732
4712,2708777,3/17/2008 0:00,3,251974,Eel River,0.278,1.80E+13,1,8319871,558,55800,0.002515349,2708777,18589,2708777,5375.0565,5375.0565
4718,2708789,3/17/2008 0:00,3,251974,Eel River,0.181,1.80E+13,1,8319891,558,55800,0.002097889,2708789,18595,2708789,5288.8068,5288.8068
4719,2708793,3/17/2008 0:00,3,251974,Eel River,0.719,1.80E+13,1,8319891,558,55800,0.008203908,2708793,18596,2708793,5252.3874,5252.3874
4729,2708795,3/17/2008 0:00,3,251974,Eel River,0.446,1.80E+13,1,8319905,558,55800,0.004723045,2708795,18606,2708795,5065.8408,5065.8408
4731,2708799,3/17/2008 0:00,3,251974,Eel River,0.106,1.80E+13,1,8319913,558,55800,0.001100313,2708799,18608,2708799,5043.456,5043.456
4733,2708797,3/17/2008 0:00,3,251974,Eel River,0.234,1.80E+13,1,8319911,558,55800,0.002488368,2708797,18610,2708797,5044.3857,5044.3857
4740,2708801,3/17/2008 0:00,3,251974,Eel River,0.224,1.80E+13,1,8319917,558,55800,0.002234603,2708801,18617,2708801,5001.2802,5001.2802
4741,2708807,3/17/2008 0:00,3,251974,Eel River,0.157,1.80E+13,1,8319923,558,55800,0.001509249,2708807,18618,2708807,4997.3094,4997.3094
4744,2708805,3/17/2008 0:00,3,251974,Eel River,0.177,1.80E+13,1,8319921,558,55800,0.001613103,2708805,18621,2708805,4998.8754,4998.8754
4745,2708809,3/17/2008 0:00,3,251974,Eel River,0.183,1.80E+13,1,8319925,558,55800,0.00176877,2708809,18622,2708809,4997.1825,4997.1825
4748,2708803,3/17/2008 0:00,3,251974,Eel River,0.217,1.80E+13,1,8319919,558,55800,0.002023354,2708803,18625,2708803,4999.0743,4999.0743
4761,2710671,3/17/2008 0:00,3,251974,Eel River,0.832,1.80E+13,1,8303354,558,55800,0.008132135,2710671,18638,2710671,4216.7142,4216.7142
4763,2710647,3/17/2008 0:00,3,251974,Eel River,0.598,1.80E+13,1,8303354,558,55800,0.006168602,2710647,18640,2710647,4213.5426,4213.5426
4764,2710667,3/17/2008 0:00,3,251974,Eel River,1.998,1.80E+13,1,8303354,558,55800,0.022036116,2710667,18641,2710667,4208.0778,4208.0778
4765,2710651,3/17/2008 0:00,3,251974,Eel River,1.65,1.80E+13,1,8303354,558,55800,0.015476802,2710651,18642,2710651,4152.951,4152.951
4783,2710653,3/17/2008 0:00,3,251974,Eel River,2.267,1.80E+13,1,8303356,558,55800,0.023802747,2710653,18660,2710653,4021.731,4021.731
4786,2710657,3/17/2008 0:00,3,251974,Eel River,0.758,1.80E+13,1,8303356,558,55800,0.007136723,2710657,18663,2710657,3993.9759,3993.9759
4790,2710661,3/17/2008 0:00,3,251974,Eel River,0.902,1.80E+13,1,8303358,558,55800,0.0087726,2710661,18667,2710661,3968.9973,3968.9973
4792,2710663,3/17/2008 0:00,3,251974,Eel River,1.062,1.80E+13,1,8303358,558,55800,0.011190216,2710663,18669,2710663,3954.006,3954.006
4896,2708881,3/17/2008 0:00,3,259419,Dobbyn Creek,0.05,1.80E+13,1,8319833,558,55800,0.000473594,2708881,18773,2708881,194.3325,194.3325
4909,2708871,3/17/2008 0:00,3,226868,Larabee Creek,0.041,1.80E+13,1,8319731,558,55800,0.000461347,2708871,18786,2708871,227.8998,227.8998
4947,2702629,3/17/2008 0:00,3,268665,Van Duzen River,0.038,1.80E+13,1,8317371,558,55800,0.000413865,2702629,18824,2702629,1111.8987,1111.8987
4973,2708587,3/17/2008 0:00,3,268665,Van Duzen River,0.017,1.80E+13,1,-9998,558,55800,0.00018821,2708587,18850,2708587,659.2104,659.2104
4974,2708593,3/17/2008 0:00,3,268665,Van Duzen River,0.142,1.80E+13,1,8319721,558,55800,0.001530709,2708593,18851,2708593,656.5005,656.5005
4976,2708585,3/17/2008 0:00,3,268665,Van Duzen River,0.216,1.80E+13,1,8319719,558,55800,0.002525838,2708585,18853,2708585,659.2104,659.2104
4977,2708589,3/17/2008 0:00,3,268665,Van Duzen River,0.148,1.80E+13,1,8319721,558,55800,0.001492368,2708589,18854,2708589,658.9764,658.9764
4979,2708597,3/17/2008 0:00,3,268665,Van Duzen River,0.157,1.80E+13,1,8319723,558,55800,0.001437116,2708597,18856,2708597,650.9601,650.9601
5146,2708839,3/17/2008 0:00,3,218827,Bear Creek,0.057,1.80E+13,1,120049342,558,55800,0.000632758,2708839,20751,2708839,22.3614,22.3614
5155,2710669,3/17/2008 0:00,3,218992,Bell Springs Creek,0.03,1.80E+13,1,8303354,558,55800,0.00035308,2710669,20760,2710669,51.6213,51.6213
5232,2710659,3/17/2008 0:00,3,220951,Cherry Creek,0.032,1.80E+13,1,8303358,558,55800,0.000329496,2710659,20837,2710659,13.6476,13.6476
5250,2702655,3/17/2008 0:00,3,225708,Howe Creek,0.065,1.80E+13,1,8317371,558,55800,0.000646721,2702655,20855,2702655,28.5606,28.5606
5284,2704737,3/17/2008 0:00,3,228989,Monument Creek,0.041,1.80E+13,1,120049342,558,55800,0.000388416,2704737,20889,2704737,14.0391,14.0391
5296,2702651,3/17/2008 0:00,3,229948,Oil Creek,0.14,1.80E+13,1,8317371,558,55800,0.001640455,2702651,20901,2702651,4.6755,4.6755
5299,2708791,3/17/2008 0:00,3,230769,Pipe Creek,0.03,1.80E+13,1,8319891,558,55800,0.000294669,2708791,20904,2708791,36.3393,36.3393
5360,2708683,3/17/2008 0:00,3,234881,Sonoma Creek,0.021,1.80E+13,1,8319771,558,55800,0.000184003,2708683,20965,2708683,12.8052,12.8052
