STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T11033000,11033000,WF SAN LUIS REY R NR WARNER SPRINGS CA,33.29670362,-116.759744,Y,25.5,20343211
T11035000,11035000,SAN LUIS REY R A LK HENSHAW NR MG CA,33.23892774,-116.7627999,N,206,20344395
T11037650,11037650,PAUMA VALLEY WC DIV NR PAUMA VALLEY CA,33.33753386,-116.9703048,NA,NA,20343093
T11037700,11037700,PAUMA C NR PAUMA VALLEY CA,33.33614497,-116.9744716,Y,11,20343093
T11037701,11037701,PAUMA C NR PAUMA VALLEY CA (COMBINED) CA,33.33614497,-116.9744716,NA,11,20343093
T11039100,11039100,SAN LUIS REY R TRIB NR PALA CA,33.36253264,-117.0494735,N,1.01,20341497
T11039800,11039800,SAN LUIS REY R A COUSER CYN BR NR PALA CA,33.34058822,-117.1314207,N,364,20342481
T11040000,11040000,SAN LUIS REY R AT MONSERATE NARROWS CA,33.33725495,-117.1361431,N,373,20342485
T11040200,11040200,KEYS C TRIB A VALLEY CENTER CA,33.229203,-117.0366967,N,7.65,20341767
T11041000,11041000,SAN LUIS REY R NR BONSALL CA,33.25364594,-117.2475354,N,513,20342507
T11042000,11042000,SAN LUIS REY R A OCEANSIDE CA,33.21809119,-117.3603162,N,557,20342539
T11042400,11042400,TEMECULA C NR AGUANGA CA,33.45919759,-116.9236357,N,131,22549471
T11042490,11042490,WILSON C AB VAIL LK NR RADEC CA,33.48669687,-116.9111352,N,122,22549409
T11042520,11042520,TEMECULA C A NIGGER CYN NR TEMECULA CA,33.49447429,-116.9841922,N,320,22549393
T11042631,11042631,PECHANGA C NR TEMECULA CA,33.46416667,-117.1238889,N,13.1,22549093
T11042700,11042700,MURRIETA C NR MURRIETA CA,33.55558075,-117.2314239,N,30,22545337
T11042800,11042800,WARM SPRINGS C NR MURRIETA CA,33.53224867,-117.1769771,N,55.4,22547091
T11042900,11042900,SANTA GERTRUDIS C NR TEMECULA CA,33.52447127,-117.1647544,N,90.2,948070502
T11043000,11043000,MURRIETA C A TEMECULA CA,33.47975066,-117.1439203,N,222,22549073
T11044000,11044000,SANTA MARGARITA R NR TEMECULA CA,33.47391752,-117.1422536,N,588,22549075
T11044250,11044250,RAINBOW C NR FALLBROOK CA,33.40753006,-117.200867,N,10.3,22548475
T11044300,11044300,SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA,33.41364059,-117.2411462,N,620,22548457
T11044350,11044350,SANDIA C NR FALLBROOK CA,33.42447348,-117.249202,N,21.1,22548429
T11044500,11044500,"SANTA MARGARITA R NR FALLBROOK,CALIF.",33.39836319,-117.2630914,N,644,22549107
T11044800,11044800,DE LUZ C NR DE LUZ CA,33.4197511,-117.3217044,N,33,22548441
T11044900,11044900,DE LUZ C NR FALLBROOK CA,33.3697528,-117.3225376,N,47.5,22549113
T11045300,11045300,FALLBROOK C NR FALLBROOK CA,33.34697584,-117.3178152,N,6.97,22549115
T11045600,11045600,ONEILL LAKE OUTLET CH NR FALLBROOK CA,33.3250321,-117.3255931,NA,9.77,22548547
T11045700,11045700,ONEILL LK SPILL CH NR FALLBROOK CA,33.32892087,-117.3272599,NA,9.77,22548545
T11046000,11046000,SANTA MARGARITA R A YSIDORA CA,33.3111436,-117.3472604,N,723,22549121
T11046090,11046090,LAS FLORES C A LAS PULGAS CYN NR OCEANSIDE CA,33.31864303,-117.4378185,N,15.6,20351081
T11046100,11046100,LAS FLORES C NR OCEANSIDE CA,33.29225499,-117.4567077,N,26.6,20351631
T11046200,11046200,SAN ONOFRE C NR SAN ONOFRE CA,33.3897515,-117.514766,N,34.6,20351621
T11046250,11046250,SAN ONOFRE C A SAN ONOFRE CA,33.38391854,-117.5742128,N,42.2,20351625
T11046300,11046300,SAN MATEO C NR SAN CLEMENTE CA,33.47085987,-117.4730986,Y,80.8,20351605
